MESHTERM	1963-1974	1975-1988	1989-1994	1995-2001	2002-2008	2009-2015
Organizational Innovation	0	4	20	60	88	46
Foreign Medical Graduates	0	42	20	34	68	46
Guideline Adherence	0	0	0	4	44	46
Neurology	0	8	8	24	42	46
Cognition	0	10	4	10	36	46
Education	0	2	0	8	32	46
Multivariate Analysis	0	0	10	16	26	46
Pakistan	0	0	2	8	26	46
Medicare	0	22	16	42	22	46
Iran	0	4	0	2	22	46
Ontario	4	18	20	36	54	44
Organizational Objectives	0	12	34	70	50	44
Outcome Assessment (Health Care)	0	0	2	26	46	44
Palliative Care	0	2	12	12	40	44
Follow-Up Studies	2	10	4	34	36	44
Adaptation, Psychological	0	6	12	10	34	44
Age Factors	2	14	4	14	26	44
Military Medicine	0	2	4	22	20	44
Continuity of Patient Care	0	4	4	8	14	44
Self Concept	0	4	6	8	12	44
Training Support	0	56	52	80	66	42
Pathology	0	10	26	20	32	42
Factor Analysis, Statistical	0	4	0	4	30	42
Health Policy	0	10	14	30	20	42
Delphi Technique	0	2	0	10	18	42
Chronic Disease	0	10	2	6	14	42
Achievement	0	18	8	10	8	42
Workplace	0	0	0	4	8	42
England	0	26	26	66	62	40
Teaching Materials	4	22	26	34	48	40
Clinical Medicine	0	0	12	24	44	40
Preceptorship	0	18	12	38	40	40
Educational Technology	0	0	0	24	36	40
Treatment Outcome	0	0	2	8	28	40
Models, Organizational	0	0	4	4	22	40
Africa South of the Sahara	0	0	0	0	2	40
Chi-Square Distribution	0	0	4	10	42	38
California	4	40	12	24	36	38
Knowledge	0	0	0	14	34	38
Publishing	0	0	2	14	32	38
Drug Industry	0	2	8	6	32	38
Costs and Cost Analysis	0	66	32	50	30	38
Conflict of Interest	0	0	0	4	28	38
History, 18th Century	0	22	14	20	26	38
Italy	0	4	4	6	26	38
Social Support	0	4	4	0	22	38
Cost-Benefit Analysis	0	8	4	36	20	38
Philosophy, Medical	2	10	8	20	20	38
Databases, Factual	0	0	12	4	14	38
Surgery, Plastic	0	0	4	2	14	38
Rural Population	0	6	4	22	10	38
Saudi Arabia	0	4	8	4	8	38
Health Services Research	0	4	4	20	36	36
Denmark	0	2	4	16	22	36
Task Performance and Analysis	2	4	0	6	22	36
Specialties, Surgical	0	0	0	6	22	36
Referral and Consultation	0	20	4	24	20	36
Emotions	0	12	2	10	20	36
Awareness	0	2	2	2	16	36
Retention (Psychology)	0	0	0	2	14	36
Safety Management	0	0	0	0	12	36
Feedback, Psychological	0	0	0	0	10	36
Cross-Cultural Comparison	0	0	8	6	8	36
Social Identification	0	0	0	2	4	36
Professional Practice	0	10	24	32	64	34
Faculty	0	6	6	14	42	34
Medical History Taking	0	22	18	24	38	34
Organizational Culture	0	0	2	16	38	34
Professional Practice Location	0	4	8	26	30	34
Minnesota	0	14	6	10	26	34
Cardiology	0	8	8	22	24	34
Video Recording	0	4	8	14	18	34
Writing	2	4	8	6	14	34
Computers, Handheld	0	0	0	0	12	34
Education, Nursing	0	2	4	10	8	34
Odds Ratio	0	0	4	6	8	34
Electronic Health Records	0	0	0	0	0	34
Cultural Diversity	0	2	0	16	100	32
France	0	4	14	28	50	32
Prejudice	0	2	10	30	32	32
Ophthalmology	0	8	6	10	32	32
Evaluation Studies as Topic	6	110	64	76	28	32
Surgical Procedures, Operative	0	2	0	6	28	32
Language	2	6	4	10	18	32
Switzerland	0	6	4	12	16	32
Regression Analysis	0	6	14	22	14	32
Narration	0	0	0	2	14	32
Comprehension	0	0	0	0	6	32
Confidence Intervals	0	0	2	6	4	32
Social Media	0	0	0	0	0	32
Culture	0	10	4	20	22	30
Thinking	0	2	4	8	22	30
Drug Prescriptions	0	8	4	6	20	30
Preventive Medicine	0	16	12	16	18	30
Burnout, Professional	0	2	0	8	18	30
Taiwan	0	0	0	6	14	30
Inservice Training	0	6	6	22	12	30
Choice Behavior	0	8	4	2	10	30
National Health Programs	0	4	2	20	8	30
Information Dissemination	0	0	0	0	8	30
Patient Handoff	0	0	0	0	0	30
Pathology, Clinical	0	6	2	0	28	28
Boston	0	10	10	12	24	28
Cadaver	0	0	0	4	22	28
Pennsylvania	2	10	8	12	20	28
Texas	0	12	6	8	20	28
Linear Models	0	0	2	6	20	28
Career Mobility	0	2	2	10	18	28
Terminology as Topic	0	2	4	6	14	28
Consensus	0	0	0	2	12	28
Politics	0	8	0	14	10	28
Financial Support	0	0	0	6	10	28
Ultrasonography	0	2	0	2	8	28
Review Literature as Topic	0	0	0	0	8	28
Patient Participation	0	2	0	12	36	26
Quality of Life	0	0	2	2	34	26
Scotland	0	18	14	32	32	26
Minority Groups	0	16	28	28	28	26
Terminal Care	0	8	6	8	28	26
Dermatology	0	4	2	4	28	26
Multimedia	0	0	0	30	24	26
Telemedicine	0	0	0	24	22	26
International Educational Exchange	0	4	10	18	20	26
Laparoscopy	0	0	0	10	20	26
Pregnancy	0	2	4	6	18	26
Patients	0	14	16	8	16	26
Mental Disorders	0	12	2	8	16	26
Algorithms	0	0	0	4	14	26
Critical Care	0	2	6	8	12	26
Substance-Related Disorders	0	8	16	4	12	26
Social Environment	0	4	4	0	12	26
Checklist	0	0	0	0	0	26
Self Report	0	0	0	0	0	26
Online Systems	0	2	4	6	28	24
Role Playing	0	2	4	10	26	24
Health Services Accessibility	0	4	6	22	24	24
Videotape Recording	0	12	6	10	22	24
Neoplasms	0	10	6	10	20	24
Quality Indicators, Health Care	0	0	0	2	20	24
Austria	0	6	6	2	18	24
Fatigue	0	0	4	2	18	24
State Medicine	0	12	12	22	16	24
Benchmarking	0	0	0	2	16	24
Science	0	32	8	32	10	24
Textbooks as Topic	0	2	4	4	4	24
Efficiency	0	4	2	4	2	24
Ambulatory Care	0	18	24	28	42	22
Ethnic Groups	0	10	10	30	34	22
India	0	4	6	2	34	22
Health Manpower	2	20	16	30	32	22
Medical Informatics	0	4	20	38	30	22
Health Promotion	0	6	20	14	30	22
Infant	0	6	2	10	30	22
Emergency Service, Hospital	0	4	8	16	26	22
Research Support as Topic	0	14	6	20	22	22
Israel	0	8	8	8	22	22
Patient Education as Topic	0	2	8	12	20	22
Counseling	0	4	8	6	20	22
Attitude to Death	0	6	4	6	20	22
Emergency Medical Services	0	2	0	2	20	22
New York City	0	4	6	12	16	22
European Union	0	0	10	8	16	22
Health Surveys	0	2	4	0	16	22
Truth Disclosure	0	2	2	0	16	22
Intensive Care Units	0	0	0	0	16	22
Medical Oncology	0	8	18	24	14	22
Case-Control Studies	0	0	2	0	14	22
Salaries and Fringe Benefits	0	6	2	20	12	22
North Carolina	0	4	8	12	12	22
HIV Infections	0	0	4	6	10	22
Disabled Persons	0	2	2	2	10	22
Alberta	2	4	6	20	8	22
Vascular Surgical Procedures	0	0	2	4	8	22
Environment	0	2	0	0	8	22
Models, Psychological	0	6	2	4	6	22
Residence Characteristics	0	2	2	2	6	22
Thoracic Surgery	0	0	0	6	4	22
Single-Blind Method	0	0	0	2	2	22
Evidence-Based Practice	0	0	0	0	0	22
Michigan	0	16	8	8	40	20
New York	0	12	16	24	34	20
Emigration and Immigration	0	4	2	8	32	20
Information Storage and Retrieval	0	0	4	14	30	20
Infant, Newborn	0	10	4	12	28	20
Sleep Deprivation	0	0	2	2	18	20
Social Perception	0	0	0	0	18	20
Social Values	0	10	16	24	16	20
New South Wales	0	0	6	10	14	20
Hospital Mortality	0	0	0	0	14	20
North America	0	8	4	6	10	20
San Francisco	0	0	2	4	10	20
Administrative Personnel	0	12	6	14	8	20
Observer Variation	0	0	0	2	8	20
Videoconferencing	0	0	0	0	8	20
Systems Integration	0	0	0	6	4	20
Community-Institutional Relations	0	0	2	18	2	20
Pain Management	0	0	0	2	2	20
Nurses	0	0	4	0	0	20
Neurosurgical Procedures	0	0	0	0	0	20
Webcasts as Topic	0	0	0	0	0	20
Urology	0	8	2	4	46	18
Humanism	0	8	8	26	36	18
Interinstitutional Relations	0	0	4	22	28	18
Informed Consent	0	6	2	6	26	18
Organizational Policy	0	0	14	18	24	18
Norway	0	4	18	26	22	18
Employment	0	4	4	22	20	18
London	0	10	10	12	20	18
Models, Anatomic	0	2	8	10	20	18
Education, Premedical	0	24	12	2	18	18
Healthcare Disparities	0	0	0	0	18	18
Spain	0	2	4	18	16	18
African Americans	0	6	12	10	16	18
Altruism	0	0	6	2	16	18
Commerce	0	0	2	10	12	18
Nigeria	0	14	8	6	12	18
Bias (Epidemiology)	0	0	0	6	12	18
Biological Science Disciplines	0	0	0	4	12	18
Financing, Government	0	22	2	20	10	18
Rheumatology	0	4	2	12	8	18
Diagnostic Imaging	0	0	0	10	8	18
Models, Statistical	0	0	4	4	8	18
Sleep	0	2	0	4	8	18
Job Application	0	0	4	2	8	18
Bibliometrics	0	0	0	2	8	18
Consensus Development Conferences as Topic	0	0	0	0	8	18
Drama	0	0	0	0	8	18
Psychomotor Performance	0	0	0	0	8	18
Personality	0	6	8	6	6	18
Cardiovascular Diseases	0	4	2	4	4	18
Health Services for the Aged	0	2	0	2	4	18
Publications	0	0	0	0	4	18
Disaster Medicine	0	0	0	0	0	18
Interdisciplinary Studies	0	0	0	0	0	18
Otorhinolaryngologic Surgical Procedures	0	0	0	0	0	18
Sweden	0	4	12	30	40	16
Quebec	2	8	6	8	32	16
Child, Preschool	0	4	2	6	28	16
Peer Review	2	18	16	10	22	16
Probability	0	2	4	4	22	16
Dissection	0	2	2	2	20	16
Stereotyping	0	0	0	2	18	16
Ambulatory Care Facilities	0	2	4	8	16	16
Advisory Committees	0	0	0	0	16	16
Croatia	0	0	0	6	14	16
Chile	0	6	10	20	12	16
Audiovisual Aids	0	24	20	8	12	16
Hospitals, Veterans	0	4	10	6	12	16
Diagnosis, Differential	0	0	6	6	12	16
Physical and Rehabilitation Medicine	0	10	4	4	12	16
British Columbia	0	0	0	4	12	16
Occupational Health	0	0	0	4	12	16
Bioethics	0	2	2	10	10	16
Gastroenterology	0	8	10	4	10	16
Hospitals, Pediatric	0	0	2	4	10	16
Professional-Patient Relations	0	2	0	4	10	16
Length of Stay	2	4	10	2	10	16
Role	0	20	2	2	10	16
Public Policy	0	10	4	4	8	16
Child Psychiatry	0	0	0	2	8	16
Disaster Planning	0	0	0	2	8	16
Social Change	0	2	6	12	6	16
Professional Autonomy	0	0	0	6	6	16
Hospitalists	0	0	0	0	6	16
Personal Autonomy	0	0	4	2	4	16
Resuscitation	0	6	2	2	4	16
Health Care Costs	0	0	2	2	4	16
Health Occupations	2	2	2	4	0	16
Postoperative Complications	0	0	2	2	0	16
Reconstructive Surgical Procedures	0	0	0	0	0	16
Social Networking	0	0	0	0	0	16
Total Quality Management	0	0	2	22	42	14
Animals	0	2	14	4	42	14
Attitude to Computers	0	0	6	18	28	14
Wounds and Injuries	0	2	8	0	26	14
Singapore	0	4	8	8	22	14
Efficiency, Organizational	0	0	0	16	20	14
Physiology	0	8	6	4	20	14
Physicians, Women	0	20	20	30	18	14
Smoking Cessation	0	0	0	6	18	14
Smoking	0	2	2	4	18	14
Russia	0	0	2	14	16	14
Private Sector	0	0	0	8	16	14
Traumatology	0	0	0	2	16	14
Connecticut	0	2	2	10	14	14
Diabetes Mellitus	0	2	0	8	14	14
Libraries, Medical	2	14	14	14	12	14
Hospitals	0	12	12	10	12	14
Massachusetts	0	4	8	6	12	14
Software Design	0	0	6	6	12	14
Prevalence	0	0	0	6	12	14
Life Style	0	0	4	0	12	14
History, Ancient	0	2	2	10	10	14
Argentina	0	2	2	4	10	14
Georgia	0	2	0	2	10	14
Intervention Studies	0	0	0	2	10	14
Radiation Oncology	0	0	0	2	10	14
Inpatients	0	2	2	0	10	14
Poland	2	2	2	10	8	14
Credentialing	0	0	2	8	8	14
Military Personnel	0	2	0	4	8	14
Adolescent Psychiatry	0	0	0	2	8	14
Intention	0	0	0	0	8	14
Practice (Psychology)	0	0	0	0	8	14
Social Sciences	0	10	2	6	6	14
Oceanic Ancestry Group	0	0	0	6	6	14
Patient Advocacy	0	6	2	4	6	14
United States Department of Veterans Affairs	0	0	2	4	6	14
Emergencies	0	2	2	2	6	14
Obesity	0	4	0	0	6	14
Health Status Disparities	0	0	0	0	6	14
Societies	0	0	4	6	4	14
Remedial Teaching	0	0	2	2	4	14
Kenya	0	0	2	0	4	14
Pulmonary Medicine	0	0	0	8	2	14
Volunteers	0	0	0	8	2	14
Employee Performance Appraisal	0	2	2	2	2	14
Morbidity	0	2	2	2	2	14
Comorbidity	0	0	0	2	2	14
Abortion, Induced	0	0	0	0	2	14
Motion Pictures as Topic	0	6	0	6	0	14
Clinical Audit	0	0	0	0	0	14
Video Games	0	0	0	0	0	14
Organizational Case Studies	0	0	0	4	68	12
Data Interpretation, Statistical	0	0	0	4	30	12
Turkey	0	0	2	2	26	12
Demography	0	2	2	4	22	12
History, 17th Century	0	14	10	8	20	12
Nutritional Sciences	0	12	8	16	18	12
Diagnosis	0	22	4	4	16	12
Behavior	0	10	2	16	14	12
Continental Population Groups	0	0	2	8	14	12
Mass Screening	0	0	0	8	14	12
Self-Evaluation Programs	0	14	8	4	14	12
Belgium	0	0	2	4	14	12
Sex Distribution	0	0	2	4	14	12
College Admission Test	0	8	2	2	14	12
Safety	0	2	0	0	14	12
American Medical Association	0	16	6	6	12	12
Greece	0	4	0	4	12	12
Communication Barriers	0	2	4	0	12	12
Florida	0	10	4	6	10	12
Job Description	0	0	4	6	10	12
Philadelphia	0	0	2	6	10	12
Baltimore	0	0	0	4	10	12
Electronic Mail	0	0	0	0	10	12
Policy Making	0	0	2	16	8	12
Health Education	0	12	4	8	8	12
Mexico	0	14	0	4	8	12
Registries	0	0	0	4	8	12
Medical Records Systems, Computerized	0	0	2	2	8	12
Cardiopulmonary Resuscitation	0	0	0	2	8	12
Education, Professional	0	0	0	2	8	12
Musculoskeletal Diseases	0	0	0	2	8	12
Education, Pharmacy	0	6	2	0	8	12
Public Health Practice	0	0	0	0	8	12
Hospitals, Community	0	38	8	14	6	12
Queensland	0	0	2	10	6	12
Students	0	6	0	8	6	12
South Carolina	0	2	0	8	6	12
Health Status	0	2	2	6	6	12
Health Resources	0	2	4	2	6	12
Research Personnel	0	2	0	2	6	12
Tennessee	0	2	0	2	6	12
Access to Information	0	0	0	2	6	12
Mental Recall	0	8	6	0	6	12
Vulnerable Populations	0	0	2	0	6	12
Aging	0	2	0	0	6	12
Morals	0	2	14	16	4	12
Breast Neoplasms	2	2	4	12	4	12
Family	0	2	2	10	4	12
Medicaid	0	4	0	10	4	12
Disclosure	0	6	4	6	4	12
Neonatology	0	4	0	4	4	12
Time and Motion Studies	0	0	6	2	4	12
Art	0	0	0	2	4	12
Confidentiality	0	0	0	2	4	12
Attention	0	0	0	0	4	12
Self Care	0	0	0	0	4	12
Skin Neoplasms	0	0	2	4	2	12
Surgery Department, Hospital	0	0	0	4	2	12
Institute of Medicine (U.S.)	0	0	0	2	2	12
Medicine in Art	0	0	2	0	2	12
Knowledge of Results (Psychology)	0	0	0	0	2	12
Patient Readmission	0	0	0	0	2	12
Allied Health Personnel	2	16	6	6	0	12
Physician Assistants	0	2	0	4	0	12
Hand	0	0	0	2	0	12
Organization and Administration	4	30	2	0	0	12
Early Detection of Cancer	0	0	0	0	0	12
Marital Status	0	0	0	0	0	12
Patient Protection and Affordable Care Act	0	0	0	0	0	12
Translational Medical Research	0	0	0	0	0	12
Attitude to Health	0	6	8	24	48	10
Malaysia	0	4	8	6	38	10
Complementary Therapies	0	0	0	4	28	10
Washington	0	20	4	10	26	10
Women's Health	0	0	0	24	22	10
Rural Health	0	28	14	8	22	10
South Africa	0	16	4	10	20	10
Computers	0	14	6	8	20	10
Sensitivity and Specificity	0	0	2	8	20	10
Spirituality	0	0	0	0	18	10
Ohio	0	30	12	14	16	10
Medical Records	0	10	6	2	16	10
Imaging, Three-Dimensional	0	0	0	2	14	10
Hospital Costs	0	0	6	18	12	10
Socialization	0	4	8	10	12	10
Economics, Medical	0	12	12	12	10	10
Community Health Centers	0	12	6	10	10	10
Sexual Harassment	0	0	2	8	10	10
Hypertension	0	6	0	6	10	10
Ethics, Professional	0	0	4	4	10	10
Risk Management	0	2	2	4	10	10
Depressive Disorder	0	2	0	4	10	10
Medical Informatics Applications	0	0	0	4	10	10
Electrocardiography	0	2	2	2	10	10
Games, Experimental	0	0	0	2	10	10
Medication Errors	0	2	0	0	10	10
Orthopedic Procedures	0	0	0	0	10	10
Computer Systems	0	0	4	10	8	10
Income	0	4	10	8	8	10
Practice Management, Medical	0	4	4	8	8	10
Hispanic Americans	0	0	6	4	8	10
Power (Psychology)	0	0	6	4	8	10
Anthropology, Cultural	0	0	0	4	8	10
Pain	0	0	0	4	8	10
Behavioral Sciences	0	22	4	2	8	10
Social Justice	0	0	4	2	8	10
Industry	0	2	0	2	8	10
Sexual Behavior	0	2	0	0	8	10
Cost Control	0	20	4	18	6	10
Hospitals, Rural	0	2	0	12	6	10
Autopsy	0	0	10	10	6	10
Nurse Practitioners	0	6	0	6	6	10
Databases, Bibliographic	0	0	2	2	6	10
Metaphor	0	0	0	0	6	10
Hungary	0	0	2	16	4	10
Consultants	0	0	2	10	4	10
Professional Misconduct	0	0	4	8	4	10
Academies and Institutes	0	0	4	6	4	10
Cultural Characteristics	0	0	4	6	4	10
Predictive Value of Tests	0	0	2	2	4	10
Cardiac Surgical Procedures	0	0	0	2	4	10
Cluster Analysis	0	0	0	2	4	10
Judgment	0	0	0	2	4	10
Neurosciences	0	0	0	2	4	10
Time Management	0	0	0	2	4	10
Death Certificates	0	0	2	0	4	10
Stroke	0	0	0	0	4	10
Models, Economic	0	0	0	14	2	10
Nephrology	0	2	2	2	2	10
Mortality	0	0	2	2	2	10
Systems Theory	0	0	2	2	2	10
Cross-Over Studies	0	0	0	2	2	10
Psychological Theory	0	0	0	2	2	10
Asia, Southeastern	0	2	2	0	2	10
Parental Leave	0	0	2	0	2	10
Cell Phones	0	0	0	0	2	10
Osteopathic Physicians	0	0	0	0	2	10
Sex Characteristics	0	0	0	0	2	10
Uncertainty	0	0	0	0	2	10
Acute Disease	0	0	0	8	0	10
Schools, Nursing	0	0	0	2	0	10
Tomography, X-Ray Computed	0	0	0	2	0	10
Equipment and Supplies	0	2	0	0	0	10
Emotional Intelligence	0	0	0	0	0	10
Learning Curve	0	0	0	0	0	10
Public-Private Sector Partnerships	0	0	0	0	0	10
Resilience, Psychological	0	0	0	0	0	10
Spinal Puncture	0	0	0	0	0	10
Community Medicine	0	28	34	34	40	8
Telecommunications	0	6	4	22	26	8
Psychotherapy	0	12	4	10	22	8
Depression	0	6	2	4	20	8
Medical Audit	0	30	4	18	16	8
Occupational Medicine	0	4	4	14	16	8
Asthma	0	2	0	12	16	8
Databases as Topic	0	0	0	2	16	8
Delivery of Health Care, Integrated	0	0	0	10	14	8
Professional-Family Relations	0	2	0	8	14	8
Anti-Bacterial Agents	0	2	2	0	14	8
Point-of-Care Systems	0	0	0	0	14	8
Virginia	0	8	8	12	12	8
Decision Support Systems, Clinical	0	0	0	4	12	8
Observation	0	0	0	2	12	8
Arkansas	0	0	0	0	12	8
Education, Dental	0	10	6	2	10	8
Rehabilitation	0	14	8	0	10	8
Health Behavior	0	0	2	8	8	8
Urban Population	0	2	0	8	8	8
United Arab Emirates	0	0	0	8	8	8
Poverty	0	2	4	6	8	8
Diagnostic Errors	0	4	0	6	8	8
Religion and Medicine	0	4	0	6	8	8
Endoscopy	0	0	0	4	8	8
Semantics	0	0	0	4	8	8
Data Display	0	0	4	2	8	8
Automobile Driving	0	0	0	2	8	8
Forensic Medicine	0	4	2	0	8	8
Thailand	0	8	2	10	6	8
Reading	0	2	4	6	6	8
Health Services, Indigenous	0	0	2	6	6	8
War	0	4	0	6	6	8
Clinical Protocols	0	0	8	4	6	8
Alcoholism	0	14	6	4	6	8
Arizona	0	2	2	4	6	8
Western Australia	0	0	0	4	6	8
Creativity	0	0	2	2	6	8
Malpractice	0	6	0	2	6	8
Intensive Care	0	0	0	2	6	8
Disease Management	0	0	0	0	6	8
Ethics, Research	0	0	0	0	6	8
History, Medieval	0	4	4	12	4	8
Illinois	0	24	4	6	4	8
Medical Illustration	0	0	2	6	4	8
Human Rights	0	0	0	6	4	8
Philosophy	0	4	10	4	4	8
District of Columbia	0	4	0	4	4	8
